School,Total Foreign Donations,Qatar Donations,PRC Donations,UAE Donations,Saudi Arabia Donations
Harvard University,4007178750.8900003,39511002.0,321633723.45,127846054.0,91175567.0
Cornell University,3043850532.62,2293257152.0,59333290.0,1515500.0,8506163.0
Carnegie Mellon University,2910470123.8,1041705520.8,43091674.0,5303400.0,2047910.0
University Of Pennsylvania,2660604566.6,0.0,135693590.33,2057065.0,17003181.0
Massachusetts Institute Of Technology,2559416978.66,0.0,133756977.0,84582569.0,125408511.0
Stanford University,2089014223.77,1826857.0,183115838.01,4024631.0,90861191.3
Johns Hopkins University,1554340029.28,3417837.0,18101160.79,46552129.0,57040991.0
Yale University,1521548490.1200001,284668.0,130548504.0,5143928.0,13706316.0
Georgetown University,1346671602.0,971077083.0,11469901.0,5381527.0,30590000.0
Northwestern University,1150443077.36,737808527.0,17357663.45,525000.0,31393648.0
"University Of California, Berkeley",1081918854.21,0.0,95358366.0,20867570.94,42954886.0
Duke University,1059133485.6300001,2530691.0,60895763.0,1456612.0,3561688.0
University Of Southern California,952571131.8840001,3655485.0,101906689.52,1310857.03,121985566.404
"University Of California, San Diego",916722615.55,0.0,22390405.09,2119390.0,69382582.21
"University Of California, Los Angeles",715949645.74,1.0,92321405.0,2486824.0,15251658.0
University Of Virginia,478160460.11,0.0,12781214.7,3597414.0,31808523.0
Princeton University,435004303.0,0.0,31229640.0,0.0,2420000.0
"University Of California, Davis",416326489.67999995,261050.0,18157337.0,5433642.0,11239257.79
California Institute Of Technology,374665673.79999995,0.0,7557480.58,36000000.0,24557904.3
University Of Florida,268520974.78999996,0.0,392579.0,0.0,15053721.879999999
Brown University,245770341.95,0.0,24970837.65,535938.0,4238484.5
Vanderbilt University,211246989.0,0.0,0.0,9305747.0,906047.0
Washington University In St. Louis,186491603.91,1117908.0,18184028.6,0.0,10296477.0
Emory University,182379954.0,256750.0,12127816.0,0.0,15179427.0
University Of Notre Dame,135854662.72,0.0,4550100.0,0.0,0.0
Dartmouth College,126035820.97,0.0,402500.0,0.0,0.0
Rice University,3822759.0,500000.0,0.0,0.0,0.0
