School,AFGHANISTAN,ALBANIA,ANDORRA,ARGENTINA,ARMENIA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS (THE),BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BERMUDA,BHUTAN,BOLIVIA,BOSNIA AND HERZEGOVINA,BOTSWANA,BRAZIL,BRITAIN,BRITISH WEST INDIES,BULGARIA,BURMA,CAMEROON,CANADA,CAYMAN ISLANDS (THE),CENTRAL AFRICAN REPUBLIC,CEYLON,CHILE,CHINA,CHRISTMAS ISLAND,COLOMBIA,COSTA RICA,COTE D'IVOIRE,CROATIA,CYPRUS,CZECHIA,DENMARK,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,ENGLAND,ERITREA,ESTONIA,ETHIOPIA,FINLAND,FRANCE,GEORGIA,GERMANY,GHANA,GIBRALTAR,GREAT BRITAIN,GREECE,GRENADA,GUAM,GUATEMALA,GUERNSEY,HAITI,HONDURAS,HONG KONG,HUNGARY,ICELAND,INDIA,INDONESIA,IRAN,IRAQ,IRELAND,ISLE OF MAN,ISRAEL,ITALY,JAMAICA,JAPAN,JERSEY,JORDAN,KAZAKHSTAN,KENYA,KUWAIT,LATVIA,LEBANON,LESOTHO,LIBERIA,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAO,MADAGASCAR,MALAWI,MALAYSIA,MALI,MALTA,MAURITIUS,MEXICO,"MOLDOVA, REPUBLIC OF",MONACO,MONGOLIA,MOROCCO,MOZAMBIQUE,NAMIBIA,NEPAL,NETHERLANDS,NEW ZEALAND,NIGERIA,NORTHERN IRELAND,NORWAY,OMAN,PAKISTAN,PALESTINIAN TERRITORIES,PANAMA,PARAGUAY,PERU,PHILIPPINES,POLAND,PORTUGAL,PUERTO RICO,QATAR,ROMANIA,RUSSIA,RWANDA,SAINT KITTS AND NEVIS,SAINT LUCIA,SAUDI ARABIA,SCOTLAND,SENEGAL,SERBIA,SEYCHELLES,SINGAPORE,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SOUTH KOREA,SPAIN,SRI LANKA,ST. VINCENT & THE GRENADINES,SWAZILAND,SWEDEN,SWITZERLAND,SYRIA,TAIWAN,TANZANIA,THAILAND,THE NETHERLANDS,TOKELAU,TRINIDAD AND TOBAGO,TUNISIA,TURKEY (TURKIYE),UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED NATIONS,URUGUAY,USA,UZBEKISTAN,VENEZUELA,VIETNAM,VIRGIN ISLANDS (BRITISH),WALES,ZAMBIA,ZIMBABWE,Total Foreign Donations
Harvard University,0.0,1000000.0,0.0,7440626.0,0.0,33400324.0,3159090.0,5935048.0,4797366.0,1540000.0,9885932.0,0.0,0.0,8930287.73,0.0,35338652.0,0.0,805317.0,0.0,585102.0,128040312.0,300000.0,0.0,0.0,3913581.0,0.0,166688571.09,1900000.0,0.0,0.0,16028815.0,321633723.45,0.0,10947741.0,400000.0,0.0,315000.0,32190244.0,0.0,34345409.0,433850.0,314000.0,52553035.0,814607.0,555001663.36,0.0,0.0,0.0,1557073.0,108524175.52,3687164.0,143040057.0,1582680.0,0.0,0.0,23482202.51,0.0,0.0,0.0,0.0,0.0,1203992.0,268703922.0,870000.0,0.0,207803376.5,37860316.0,185160.0,0.0,1772310.0,8180000.0,15758479.0,46085386.0,0.0,175147297.0,17544008.0,662500.0,3200000.0,7199351.0,29850636.0,0.0,2500000.0,0.0,0.0,10175312.0,0.0,821000.0,0.0,0.0,2787188.0,33879549.0,0.0,0.0,0.0,51524647.0,0.0,0.0,500000.0,8371351.0,0.0,3652597.0,0.0,35210867.0,2165180.0,13972545.0,0.0,54274731.0,1719824.0,2789982.0,1550000.0,285803.0,0.0,4771934.0,6365457.0,9950000.0,15725317.0,0.0,39511002.0,3536660.0,780547.0,355500.0,0.0,0.0,91175567.0,1261401.0,0.0,0.0,0.0,65447990.0,0.0,0.0,25092161.0,72703332.0,69981388.0,0.0,0.0,0.0,26328116.73,540306774.0,0.0,29111426.0,502550.0,32960225.0,9830601.0,0.0,0.0,705405.0,37782589.0,0.0,0.0,127846054.0,5867454.0,0.0,1098125.0,0.0,0.0,2960926.0,3001291.0,13500000.0,0.0,0.0,0.0,4007178750.8900003
Cornell University,351686.0,0.0,0.0,0.0,0.0,8507115.0,4020365.0,0.0,3981287.0,0.0,0.0,0.0,0.0,5922062.0,0.0,980000.0,0.0,0.0,0.0,0.0,611032.0,0.0,0.0,917485.0,0.0,0.0,49774815.75,327411.51,0.0,0.0,300000.0,59333290.0,0.0,460315.0,0.0,1100340.0,0.0,0.0,4400000.0,12537265.0,0.0,0.0,0.0,0.0,23168685.38,0.0,0.0,0.0,0.0,29830828.15,0.0,43852195.28,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,1500000.0,0.0,0.0,76772739.0,470000.0,0.0,87647844.0,3873093.0,0.0,0.0,6858088.0,0.0,9365081.09,2480971.0,0.0,31928919.17,0.0,0.0,0.0,1775191.0,0.0,0.0,0.0,0.0,0.0,7499980.0,0.0,2339723.0,0.0,0.0,0.0,0.0,504385.0,0.0,0.0,16745011.0,0.0,7600000.01,0.0,0.0,0.0,0.0,0.0,900000.0,1313074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1842760.0,1000000.0,0.0,4028182.0,0.0,2293257152.0,0.0,0.0,0.0,321594.0,0.0,8506163.0,314992.0,595431.0,0.0,0.0,9501494.0,0.0,0.0,264744.0,23172062.5,3014398.0,0.0,0.0,0.0,13523085.77,78361665.01,0.0,15450000.0,0.0,1243366.0,3476824.0,0.0,0.0,588296.0,15497000.0,0.0,0.0,1515500.0,32152092.0,0.0,0.0,0.0,0.0,0.0,24273454.0,1000000.0,0.0,0.0,0.0,3043850532.62
Carnegie Mellon University,0.0,0.0,0.0,0.0,0.0,47693951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784307.0,0.0,750000000.0,0.0,0.0,0.0,0.0,0.0,0.0,295000.0,0.0,0.0,0.0,298821022.0,0.0,0.0,0.0,2583435.0,43091674.0,0.0,4212601.0,0.0,0.0,0.0,0.0,317520.0,0.0,1047500.0,0.0,0.0,0.0,20548196.0,0.0,0.0,0.0,2973627.0,2826202.0,0.0,15992529.0,0.0,0.0,0.0,4835105.0,0.0,0.0,0.0,0.0,0.0,0.0,14600000.0,0.0,0.0,56939186.0,0.0,0.0,0.0,1266937.0,0.0,7978168.0,720000.0,0.0,83240427.0,0.0,0.0,0.0,2689250.0,0.0,774048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367500.0,0.0,0.0,0.0,6320271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633990.0,0.0,0.0,0.0,0.0,0.0,0.0,576756.0,0.0,93622280.0,0.0,1041705520.8,0.0,2860500.0,56812327.0,0.0,0.0,2047910.0,2100000.0,0.0,0.0,0.0,57178684.0,0.0,0.0,117698809.0,48306022.0,0.0,0.0,0.0,0.0,2301566.0,13203090.0,0.0,14108227.0,0.0,68080000.0,4078434.0,0.0,0.0,0.0,0.0,0.0,309030.0,5303400.0,0.0,0.0,0.0,0.0,0.0,0.0,8375122.0,250000.0,0.0,0.0,0.0,2910470123.8
University Of Pennsylvania,0.0,0.0,0.0,274399.09,0.0,4540408.71,1028139.0,0.0,11474549.3,293339.0,0.0,0.0,0.0,11657779.71,0.0,4137861.0,0.0,0.0,0.0,518367.95,9443190.0,0.0,0.0,0.0,0.0,0.0,29978390.99,3000000.0,0.0,0.0,0.0,135693590.33,0.0,271209.0,0.0,0.0,0.0,0.0,0.0,3080299.0,0.0,0.0,0.0,265000.0,129523668.4,16000.0,0.0,0.0,0.0,7099769.67,0.0,1832463583.93,0.0,0.0,15166158.0,952525.36,0.0,0.0,0.0,0.0,0.0,0.0,69767063.3,0.0,0.0,26113150.99,8521121.0,0.0,0.0,18153004.65,0.0,6566437.5,5091051.0,0.0,26221099.15,0.0,0.0,2109870.8,0.0,3639893.0,0.0,1108635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1305075.0,0.0,0.0,4086768.0,3658325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4110078.0,410000.0,2529000.0,0.0,0.0,332664.0,460000.0,0.0,915000.0,0.0,308206.0,3312306.0,0.0,467313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17003181.0,0.0,0.0,0.0,0.0,50633813.85,0.0,0.0,0.0,4100132.0,7629179.0,0.0,0.0,400000.0,1563991.0,101583895.11,0.0,10407754.0,0.0,6185413.0,1160238.93,0.0,0.0,0.0,1149336.0,0.0,285000.0,2057065.0,31583009.0,0.0,0.0,0.0,0.0,0.0,29948268.88,4850000.0,0.0,0.0,0.0,2660604566.6
Massachusetts Institute Of Technology,0.0,0.0,550000.0,15796194.0,0.0,23567500.0,2375011.0,789536.0,828942.0,1500000.0,0.0,0.0,0.0,15423387.0,2272000.0,19677410.0,2058310.0,0.0,0.0,9999999.0,39453947.81,0.0,0.0,0.0,0.0,0.0,33020389.0,500000.0,0.0,0.0,6025781.0,133756977.0,0.0,4629100.0,0.0,1157100.0,0.0,0.0,0.0,46200618.0,1361400.0,0.0,325000.0,0.0,145310377.0,0.0,1100000.0,0.0,8382499.0,33660635.24,300000.0,39191998.0,332158.0,0.0,0.0,16851475.0,0.0,0.0,350000.0,0.0,0.0,0.0,103324498.0,1625000.0,1932129.0,154586832.0,35486433.0,0.0,0.0,589377.0,0.0,7235775.0,71023133.0,0.0,239815757.0,26798927.0,250000.0,0.0,3796047.0,12530257.0,500000.0,2000000.0,0.0,250000.0,9713923.0,0.0,16718425.0,0.0,0.0,0.0,55101670.0,0.0,0.0,825000.0,50416521.0,0.0,2875854.0,0.0,33122086.0,0.0,0.0,0.0,11248523.0,6070000.0,5605000.0,0.0,8122511.0,0.0,0.0,0.0,500000.0,0.0,7211782.0,1000000.0,0.0,68811212.0,0.0,0.0,0.0,113613344.0,0.0,0.0,0.0,125408511.0,0.0,0.0,850000.0,1059361.0,352184002.0,0.0,0.0,10346004.0,80779728.0,48339993.0,0.0,0.0,0.0,15246660.0,42080272.58,0.0,47151620.0,0.0,55014877.0,1968185.0,0.0,0.0,0.0,582600.0,0.0,0.0,84582569.0,26440610.0,0.0,1471583.0,502075.03,1269999.0,0.0,3885000.0,805569.0,0.0,0.0,0.0,2559416978.66
Stanford University,0.0,0.0,0.0,6692161.0,0.0,50002204.06,7819694.0,0.0,1478391.0,0.0,250000.0,0.0,0.0,12944247.0,0.0,3059696.0,0.0,0.0,0.0,2573080.0,25141271.0,0.0,0.0,745200.0,0.0,0.0,35034613.12,9961154.0,0.0,0.0,525711.0,183115838.01,7600.0,3350000.0,0.0,0.0,0.0,386750.0,1228708.0,93174035.2,0.0,0.0,2500000.0,0.0,77550949.02,0.0,0.0,0.0,1605260.0,52540594.06,0.0,168682875.14,0.0,0.0,937000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195261075.73,297121.0,0.0,30823438.0,29694517.0,0.0,0.0,17558995.25,0.0,3531831.0,11753844.0,3216353.0,157356598.09,13699379.0,0.0,375000.0,1356825.0,0.0,0.0,0.0,0.0,0.0,1424162.37,0.0,1934742.0,427890.0,0.0,0.0,4441321.0,0.0,0.0,0.0,29253412.0,252100.0,0.0,0.0,0.0,0.0,0.0,0.0,39939692.0,0.0,801699.0,0.0,42990875.0,413503.0,0.0,0.0,0.0,0.0,6690481.0,1561570.0,873700.0,969026.0,0.0,1826857.0,648470.0,5051000.0,1570491.0,0.0,0.0,90861191.3,375000.0,0.0,15200.0,0.0,117846492.55,0.0,0.0,273915.0,69970800.0,5901809.0,0.0,0.0,666709.2000000001,42204508.21,224864415.53,0.0,37973561.65,0.0,26481598.0,9951873.0,0.0,0.0,0.0,13849.0,267974.0,0.0,4024631.0,101026561.0,0.0,2237600.0,5503535.28,0.0,250000.0,1000000.0,0.0,0.0,0.0,0.0,2089014223.77
Johns Hopkins University,11712059.0,0.0,0.0,10425.0,300.0,17583015.78,5169046.0,22516.0,5663395.0,313366.0,6369326.0,100.0,100.0,27674173.0,0.0,6347845.0,0.0,0.0,175421.0,0.0,2830535.0,0.0,0.0,665.0,5516784.0,0.0,118665783.88,10.0,0.0,0.0,148825.0,18101160.79,0.0,45938.0,745.0,1072432.0,26.0,50.0,70280.0,45678428.0,25.0,400950.0,1423699.0,0.0,215089780.8,0.0,0.0,496796.0,1355118.0,19676226.0,27127.0,137372251.73,4492965.0,0.0,0.0,10674212.0,0.0,436500.0,760.0,0.0,2261454.0,2130.0,7782636.0,180.0,50.0,39282149.82,5393662.0,80.0,0.0,14494604.35,0.0,21232390.74,10645562.0,18225.0,79556072.61,0.0,311038.0,1082408.0,954930.0,50086.0,50.0,267890.0,1663171.0,1170.0,1181016.0,0.0,14396.0,0.0,1052418.0,1328118.0,27422138.0,16960.0,914.0,0.0,279573.0,0.0,123058132.0,0.0,0.0,1928156.0,216470.0,27744.0,14825669.0,78519.0,524097.0,0.0,8621785.0,84683.0,1726534.0,0.0,119970.0,0.0,4097910.0,1462606.0,312682.0,1461781.0,1091551.0,3417837.0,0.0,590.0,0.0,0.0,50.0,57040991.0,4577713.83,307795.0,12430.0,0.0,7767331.0,20.0,115.0,19042491.53,50285647.480000004,9223504.0,0.0,0.0,2757.0,18952416.93,122324224.27,1364702.0,7828806.0,5141368.0,656580.0,17209062.12,6000.0,2102675.0,0.0,4049673.12,2215652.0,0.0,46552129.0,121127299.0,0.0,0.0,0.0,0.0,61132.0,276449.0,10000.0,0.0,11750766.5,478899.0,1554340029.28
Yale University,0.0,0.0,650000.0,0.0,0.0,6283930.0,1477743.0,0.0,1276693.0,0.0,0.0,0.0,0.0,8364541.0,0.0,7566741.0,0.0,0.0,0.0,0.0,1393000.0,0.0,0.0,0.0,0.0,0.0,28788398.0,5110795.0,0.0,0.0,2373014.0,130548504.0,0.0,0.0,0.0,0.0,0.0,0.0,343588.0,8666686.0,0.0,0.0,571246.0,0.0,148928949.92,0.0,0.0,0.0,2092176.0,38813237.0,0.0,46949753.03,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,442342902.84000003,0.0,0.0,248194407.5,0.0,275000.0,15048480.0,13066666.0,0.0,0.0,9441434.58,0.0,12550639.0,2876315.0,0.0,21354635.97,0.0,0.0,0.0,1219570.0,0.0,0.0,0.0,0.0,1091939.0,0.0,896991.0,750000.0,0.0,0.0,0.0,10171932.0,0.0,0.0,292000.0,1092485.0,0.0,1600000.0,0.0,0.0,0.0,0.0,0.0,3166298.0,16884747.0,1000000.0,0.0,1688083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684503.37,0.0,0.0,284668.0,0.0,7162206.0,1061045.0,0.0,0.0,13706316.0,0.0,0.0,0.0,0.0,70967603.82,0.0,0.0,0.0,21575969.0,36867421.0,0.0,0.0,0.0,3466448.0,66647397.09,0.0,1814754.0,0.0,812001.0,9724737.0,0.0,0.0,0.0,1913626.0,0.0,0.0,5143928.0,28054680.0,0.0,0.0,301000.0,0.0,0.0,0.0,4358666.0,0.0,0.0,298000.0,1521548490.1200001
Georgetown University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850000.0,1032667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311165.0,11469901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102495339.0,0.0,0.0,0.0,0.0,16623660.0,0.0,115440836.0,0.0,0.0,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,9431000.0,0.0,0.0,2584931.0,2754980.0,0.0,0.0,0.0,0.0,435201.0,517983.0,0.0,10331874.0,0.0,0.0,347598.0,0.0,2000000.0,0.0,0.0,0.0,0.0,625000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2935297.0,640800.0,273394.0,0.0,263501.0,5900000.0,0.0,0.0,0.0,0.0,1026335.0,2800000.0,0.0,0.0,0.0,971077083.0,0.0,0.0,0.0,0.0,0.0,30590000.0,0.0,0.0,0.0,0.0,2054610.0,0.0,0.0,0.0,6332926.0,8651392.0,0.0,0.0,0.0,1675402.0,5401913.0,0.0,12420000.0,0.0,0.0,600279.0,0.0,0.0,0.0,650000.0,0.0,500000.0,5381527.0,0.0,0.0,0.0,0.0,0.0,1387000.0,0.0,0.0,0.0,0.0,0.0,1346671602.0
Northwestern University,0.0,0.0,0.0,0.0,0.0,11828402.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0.0,3772757.0,0.0,6842043.0,0.0,0.0,0.0,0.0,2836896.0,0.0,0.0,0.0,0.0,0.0,14691162.22,11567053.0,0.0,0.0,0.0,17357663.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4913761.0,0.0,0.0,0.0,0.0,21069316.61,0.0,0.0,0.0,0.0,19122654.57,0.0,18169006.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10749337.28,0.0,0.0,2919923.0,16754802.0,0.0,0.0,29862378.86,0.0,13628273.18,305480.0,0.0,34490473.08,0.0,0.0,0.0,0.0,347705.0,0.0,0.0,0.0,0.0,0.0,256425.0,772300.0,0.0,0.0,0.0,998140.0,0.0,0.0,0.0,555000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954706.0,0.0,2037924.0,0.0,1390000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586036.0,0.0,737808527.0,0.0,0.0,0.0,0.0,0.0,31393648.0,0.0,0.0,738000.0,0.0,13363014.0,0.0,0.0,3500000.0,10134112.9,920678.5700000001,0.0,0.0,0.0,3009638.21,73320996.11,0.0,871612.28,0.0,0.0,1609493.0,0.0,0.0,0.0,250258.0,0.0,0.0,525000.0,19623335.0,426559.0,0.0,0.0,0.0,0.0,0.0,1668587.0,0.0,0.0,0.0,1150443077.36
